stars_review,useful,funny,cool,postal_code,stars_business,review_count,review_words_count,negative,neutral,positive,compound,0,1,2,3,4,5,6,7,8,9
5,2,2,2,85023,4,1600,263,0.022,0.856,0.121,0.9664,0.032576304,0,0,0.80762947,0,0.1492743,0,0,0,0
5,0,0,0,85014,4,395,72,0,0.906,0.094,0.7177,0,0,0,0,0,0.9665979,0,0,0,0
5,0,0,1,85028,4,687,250,0.026,0.913,0.061,0.6712,0,0.4644103,0.15747897,0.06272324,0,0,0,0,0.30139336,0
5,0,0,0,85012,4,51,107,0.059,0.807,0.134,0.828,0,0,0,0,0,0.29180732,0,0,0.6717778,0
3,1,0,0,85003,4.5,1107,90,0.049,0.779,0.172,0.9042,0,0,0,0,0,0.9525962,0,0,0,0
4,2,0,0,85022,4.5,105,215,0.034,0.711,0.254,0.9932,0,0,0,0,0,0,0,0,0,0.97854215
5,0,0,0,85004,3.5,637,80,0,0.689,0.311,0.977,0,0,0.79684937,0,0,0.1723495,0,0,0,0
5,2,0,1,85004,3.5,637,80,0,0.689,0.311,0.977,0,0,0.79673415,0,0,0.17246482,0,0,0,0
5,1,2,1,85023,4,1600,219,0.012,0.752,0.237,0.9934,0,0,0,0.100763455,0,0.8813165,0,0,0,0
3,0,0,0,85023,4,1600,235,0.058,0.739,0.203,0.9897,0,0,0,0,0,0.9790324,0,0,0,0
4,1,0,0,85023,4,1600,86,0.037,0.723,0.24,0.9439,0,0,0,0.95255625,0,0,0,0,0,0
5,14,7,11,85016,4,162,274,0,0.786,0.214,0.9948,0,0,0,0.9236934,0.06574897,0,0,0,0,0
1,1,0,0,85048,3.5,345,143,0.129,0.813,0.058,-0.7965,0,0.44114336,0,0.14464276,0,0.09080583,0,0.16777955,0.14130095,0
5,7,1,5,85013,4,328,208,0.036,0.717,0.247,0.9916,0,0,0,0,0.044700705,0.5556702,0,0,0,0.38162813
3,0,0,0,85014,4,395,144,0,0.87,0.13,0.9418,0,0,0.4254326,0,0,0,0,0,0.55220425,0
5,0,0,0,85014,4,395,70,0,0.711,0.289,0.967,0,0,0,0,0,0,0,0.9526162,0,0
4,0,0,0,85018,4,384,101,0.105,0.749,0.146,0.5052,0,0,0,0.43923458,0.14282338,0,0.38986576,0,0,0
2,1,0,0,85018,4,513,157,0.087,0.77,0.144,0.9019,0,0.52884144,0,0,0,0,0.2539203,0,0.19601655,0
5,2,0,0,85034,5,1936,248,0.029,0.745,0.226,0.9952,0,0.9833208,0,0,0,0,0,0,0,0
